D�a	Concepto / Referencia	cargo	Abono	Saldo
17-06-2019	CE00000083990120328289/3070089 83990120328289                1364332		1,515.00	273,589.07
17-06-2019	CE00000067910120328252/2997852 67910120328252                1364332		1,515.00	272,074.07
17-06-2019	CE00000079750120328220/2980230 79750120328220                1364332		1,515.00	270,559.07
17-06-2019	CE00000078000120328244/2942555 78000120328244                1364332		1,515.00	269,044.07
17-06-2019	CE00000074060120328217/2787290 74060120328217                1364332		1,515.00	267,529.07
17-06-2019	CE00000081900120328290/2784287 81900120328290                1364332		1,515.00	266,014.07
17-06-2019	CE00000074200120328246/2775487 74200120328246                1364332		1,515.00	264,499.07
17-06-2019	CE00000071810120328273/2648118 71810120328273                1364332		1,515.00	262,984.07
17-06-2019	CE00000087300620327270/2565904 87300620327270                1364332		230.00	261,469.07
17-06-2019	CE00000072400120318253/2490081 72400120318253                1364332		1,515.00	261,239.07
17-06-2019	CE00000078130120318210/2438590 78130120318210                1364332		1,515.00	259,724.07
17-06-2019	SPEI ENVIADO BANAMEX/0000613407  002 0170619INTERNET Y TELEFONIA	106,256.00		258,209.07
17-06-2019	CE00000075290120318217/2420935 75290120318217                1364332		1,515.00	364,465.07
17-06-2019	CE00000063400120318251/2419571 63400120318251                1364332		1,515.00	362,950.07
17-06-2019	CE00000070930120328226/2408340 70930120328226                1364332		1,515.00	361,435.07
17-06-2019	CFE SUMINISTRADOR DE/GUIA:2406547 REF:01952140500292190621 CIE:0578869	2,502.00		359,920.07
17-06-2019	CE00000064540120328281/2402609 64540120328281                1364332		1,515.00	362,422.07
17-06-2019	CE00000064740120328230/2386032 INSCRIPCION SEP-DIC 2019      1364332		1,515.00	360,907.07
17-06-2019	TRASPASO A TERCEROS/REFBNTC00088633 BECAS ALIMENTICIAS            BMRCASH	464.00		359,392.07
17-06-2019	CE00000073570120328243/2344782 73570120328243                1364332		1,515.00	359,856.07
17-06-2019	DEPOSITO EN EFECTIVO/0036255  		30,972.53	358,341.07
17-06-2019	CE00000075600120328252/2179419 75600120328252                1364332		1,515.00	327,368.54
17-06-2019	CE00000087630620327202/2171169 87630620327202                1364332		230.00	325,853.54
17-06-2019	CE00000088050620327210/2165031 88050620327210                1364332		230.00	325,623.54
17-06-2019	CE00000069650120328281/2085776 69650120328281                1364332		1,515.00	325,393.54
17-06-2019	CE00000070880120328201/1980000 INSCRIPCION SEPTIEMBRE-DICIEMB1364332		1,515.00	323,878.54
16-06-2019	CE00000071370120318255/1795134 INSCREPCION SEPT DIC 2019     1364332		1,515.00	322,363.54
16-06-2019	CE00000064200120318216/1570943 64200120318216                1364332		1,515.00	320,848.54
16-06-2019	CE00000087700620317248/1565740 87700620317248                1364332		230.00	319,333.54
16-06-2019	CE00000075510120318231/1439306 75510120318231                1364332		1,515.00	319,103.54
16-06-2019	CE00000084430120318248/1309000 INSCRIPCION SEPTIEMBRE DICIEMB1364332		1,515.00	317,588.54
14-06-2019	CE00000073680120298288/4148628 73680120298288                1364332		1,515.00	316,073.54
14-06-2019	CE00000087940620297293/4066117 87940620297293                1364332		230.00	314,558.54
14-06-2019	CONSEJO NAL DE NORMA/GUIA:4009489 REF:00000000000000000000 CIE:1024523	357.33		314,328.54
14-06-2019	SECRETARIA DE FINANZ/GUIA:3968118 REF:38911429756324008260 CIE:1388967	338.00		314,685.87
14-06-2019	SECRETARIA DE FINANZ/GUIA:3952300 REF:38911429760124000241 CIE:1388967	84.00		315,023.87
14-06-2019	CE00000079340120288289/3934029 79340120288289                1364332		1,515.00	315,107.87
14-06-2019	CE00000069180120298226/3911391 69180120298226                1364332		1,515.00	313,592.87
14-06-2019	TRASPASO ENTRE CUENTAS/REFBNTC00088633 IMPUESTOS DE RETENCIONES      BMRCASH	6,021.87		312,077.87
14-06-2019	CE00000079760120298242/3533882 79760120298242                1364332		1,515.00	318,099.74
14-06-2019	CE00000085470620297213/3450733 85470620297213                1364332		230.00	316,584.74
14-06-2019	CE00000066460120298224/3292146 66460120298224                1364332		1,515.00	316,354.74
14-06-2019	CE00000087470620297235/3220052 EXAMEN DE INGRESO A LA EDUCACI1364332		230.00	314,839.74
14-06-2019	CE00000067990120298213/3196314 67990120298213                1364332		1,515.00	314,609.74
14-06-2019	CE00000066600120288236/3001955 INSCRPCION SEP-DIC2019        1364332		1,515.00	313,094.74
14-06-2019	CE00000063490120298248/2989063 63490120298248                1364332		1,515.00	311,579.74
14-06-2019	CE00000072180120288242/2973993 72180120288242                1364332		1,515.00	310,064.74
14-06-2019	CE00000073180120298270/2949056 73180120298270                1364332		1,515.00	308,549.74
14-06-2019	CE00000081690120288281/2889117 INSCRIPCION SEP-DIC 2019      1364332		1,515.00	307,034.74
14-06-2019	CE00000071210120288218/2836438 71210120288218                1364332		1,515.00	305,519.74
14-06-2019	CE00000081300120298252/2684187 81300120298252                1364332		1,515.00	304,004.74
14-06-2019	CE00000066020120298250/2672010 66020120298250                1364332		1,515.00	302,489.74
14-06-2019	CE00000067110120298265/2597595 67110120298265                1364332		1,515.00	300,974.74
14-06-2019	CE00000076230120298231/2576739 76230120298231                1364332		1,515.00	299,459.74
14-06-2019	CE00000070710120298242/2533047 70710120298242                1364332		1,515.00	297,944.74
14-06-2019	CE00000087000620287284/2487760 87000620287284                1364332		230.00	296,429.74
14-06-2019	CE00000079770120298261/2260885 79770120298261                1364332		1,515.00	296,199.74
